Canal,Sistema,UEN,Tecnologia,Tipo_de_Documento,Numero_de_Documento,Cliente,Contacto,"Linea_del_Servicio | Single","Pedido | Orden","Cuenta de Facturacion",Ciudad
TIENDAS,"SIEBEL SOMOS Y CONVERGENTE",HOGARES,FTTH,CC,1000454411,"ARIEL DE GÁLVEZ",0454165323793,663088943,0180,9067,BOGOTA
"REDES SOCIALES","SIEBEL SOMOS Y CONVERGENTE",HOGARES,FTTH,CC,1000454412,"ROMÁN MARQUÉS AGUILAR",4225654718678,723623908,0181,9068,BOGOTA
"LINEA ESPECIAL",SUMA,HOGARES,FTTH,CC,1000454413,"MARÍA LUISA ANTÓN ARENAS",2798171714954,216662884,0182,9069,BOGOTA
ASEGURAMIENTO,SUMA,HOGARES,FTTH,CC,1000454414,"MARTA ROSA VIÑAS",6474388270004,761532774,0183,9070,BOGOTA
"CALL CENTER","SIEBEL SOMOS Y CONVERGENTE",HOGARES,FTTH,CC,1000454415,"LUIS ÁNGEL DEL CASTELLANOS",7509886820054,236393149,0184,9071,BOGOTA
VENTAS,SUMA,HOGARES,FTTH,CC,1000454416,"ÁNGELA JOSEFA DONOSO QUEROL",9862121830354,290563157,0185,9072,BOGOTA
VENTAS,"SIEBEL SOMOS Y CONVERGENTE",HOGARES,FTTH,CC,1000454417,"CIRIACO POL CAÑAS",6408373081244,641368010,0186,9073,BOGOTA
VENTAS,"SIEBEL SOMOS Y CONVERGENTE",HOGARES,FTTH,CC,1000454418,"CALIXTO CANALES CAMPOY",6489455269384,490212730,0187,9074,BOGOTA
VENTAS,"SIEBEL SOMOS Y CONVERGENTE",HOGARES,FTTH,CC,1000454419,"VICENTA VALERIA CANO AVILÉS",7826055454487,273254523,0188,9075,BOGOTA
ESCRITA,"SIEBEL SOMOS Y CONVERGENTE",HOGARES,FTTH,CC,1000454420,"TANIA BARBERO HIGUERAS",7336753304117,380401520,0189,9076,BOGOTA
"CANAL DIGITAL",SUMA,HOGARES,FTTH,CC,1000454421,"AGUSTINA VALENZUELA MARÍ",8489530708606,965190351,0190,9077,BOGOTA
RETENCIONES,SUMA,HOGARES,FTTH,CC,1000454422,"REINA MORANTE VARGAS",9938553994443,504819354,0191,9078,BOGOTA
VENTAS,"SIEBEL SOMOS Y CONVERGENTE",HOGARES,FTTH,CC,1000454423,"AINOA MORELL QUINTANA",6008720526917,594509273,0192,9079,BOGOTA
"CALL TECNICO","SIEBEL SOMOS Y CONVERGENTE",HOGARES,FTTH,CC,1000454424,"MARIO DEL SECO",3454159550400,649994487,0193,9080,BOGOTA
"CALL TECNICO","SIEBEL SOMOS Y CONVERGENTE",HOGARES,FTTH,CC,1000454425,"GUIOMAR CUENCA CAPARRÓS",4317982474371,485247022,0194,9081,BOGOTA
ESCRITA,"SIEBEL SOMOS Y CONVERGENTE",HOGARES,FTTH,CC,1000454426,"LEANDRA TORRENTS ARRIBAS",1946468881937,597985259,0195,9082,BOGOTA
TIENDAS,"SIEBEL SOMOS Y CONVERGENTE",HOGARES,FTTH,CC,1000454427,"PERLITA DEL BARREDA",9606786692002,616541706,0196,9083,BOGOTA
"CALL TECNICO","SIEBEL SOMOS Y CONVERGENTE",HOGARES,FTTH,CC,1000454428,"SALOMÉ PATRICIA SARABIA FERRERA",3891960802853,608897624,0197,9084,BOGOTA
RETENCIONES,"SIEBEL SOMOS Y CONVERGENTE",HOGARES,FTTH,CC,1000454429,"ISAÍAS SOMOZA ATIENZA",3430675714354,740638922,0198,9085,BOGOTA
ASEGURAMIENTO,SUMA,HOGARES,FTTH,CC,1000454430,"NEREA DEL GRAS",8460080271300,603921575,0199,9086,BOGOTA
VENTAS,"SIEBEL SOMOS Y CONVERGENTE",HOGARES,FTTH,CC,1000454431,"JUAN LUIS PEDROSA-TORRES",8000563935471,974740881,0200,9087,BOGOTA
"CALL CENTER","SIEBEL SOMOS Y CONVERGENTE",HOGARES,FTTH,CC,1000454432,"RUY ALCARAZ",9056780033030,542211476,0201,9088,BOGOTA
"CALL TECNICO","SIEBEL SOMOS Y CONVERGENTE",HOGARES,FTTH,CC,1000454433,"SOSIMO OLIVER MERCADER",0764744148702,363389490,0202,9089,BOGOTA
"LINEA ESPECIAL","SIEBEL SOMOS Y CONVERGENTE",HOGARES,FTTH,CC,1000454434,"VALERIA TOMAS CAMPOS",5070495491593,213818199,0203,9090,BOGOTA
ESCRITA,SUMA,HOGARES,FTTH,CC,1000454435,"ZACARÍAS ARIAS-CATALÁ",0731109750952,392116163,0204,9091,BOGOTA
"REDES SOCIALES","SIEBEL SOMOS Y CONVERGENTE",HOGARES,FTTH,CC,1000454436,"GRACIANO CIFUENTES HERRANZ",4517120793778,200618339,0205,9092,BOGOTA
"CANAL DIGITAL",SUMA,HOGARES,FTTH,CC,1000454437,"MARÍA JESÚS IBORRA-MONTAÑA",1135157838618,416934631,0206,9093,BOGOTA
"LINEA ESPECIAL",SUMA,HOGARES,FTTH,CC,1000454438,"EDELMIRO DE LOZANO",6009355960978,961213744,0207,9094,BOGOTA
"CALL TECNICO",SUMA,HOGARES,FTTH,CC,1000454439,"CARMELA BENÍTEZ GUIJARRO",0096545347998,462040879,0208,9095,BOGOTA
"CANAL DIGITAL",SUMA,HOGARES,FTTH,CC,1000454440,"ESTELA SALAMANCA ABELLA",4364776181598,639104959,0209,9096,BOGOTA
VENTAS,SUMA,HOGARES,FTTH,CC,1000454441,"PALMIRA HIDALGO ROMAN",1179932839037,450297086,0210,9097,BOGOTA
ASEGURAMIENTO,"SIEBEL SOMOS Y CONVERGENTE",HOGARES,FTTH,CC,1000454442,"ALONSO BERNARDO FIGUEROLA BARRENA",9882448881229,895338223,0211,9098,BOGOTA
"CANAL DIGITAL","SIEBEL SOMOS Y CONVERGENTE",HOGARES,FTTH,CC,1000454443,"BÁRBARA TELLO PAREJA",3188823363584,432091444,0212,9099,BOGOTA
"REDES SOCIALES","SIEBEL SOMOS Y CONVERGENTE",HOGARES,FTTH,CC,1000454444,"ALBERTO GABRIEL CAL AYUSO",1376024221484,300246921,0213,9100,BOGOTA
TIENDAS,"SIEBEL SOMOS Y CONVERGENTE",HOGARES,FTTH,CC,1000454445,"FIDEL MALDONADO MOLINA",3503797022175,105972074,0214,9101,BOGOTA
ESCRITA,"SIEBEL SOMOS Y CONVERGENTE",HOGARES,FTTH,CC,1000454446,"GRACIANO BARRANCO ANGULO",6150321706520,378002274,0215,9102,BOGOTA
"CANAL DIGITAL","SIEBEL SOMOS Y CONVERGENTE",HOGARES,FTTH,CC,1000454447,"MARIANA ARAGÓN BALAGUER",2015023681635,736174401,0216,9103,BOGOTA
"CANAL DIGITAL","SIEBEL SOMOS Y CONVERGENTE",HOGARES,FTTH,CC,1000454448,"CAMILA YÉSICA GALVEZ GUAL",5644457887692,194728096,0217,9104,BOGOTA
"CANAL DIGITAL",SUMA,HOGARES,FTTH,CC,1000454449,"ANTONIA FORTUNATA AYLLÓN ASENJO",5745116639638,226300274,0218,9105,BOGOTA
"LINEA ESPECIAL",SUMA,HOGARES,FTTH,CC,1000454450,"MAURICIO INIESTA RAMÓN",5526314006185,781234815,0219,9106,BOGOTA
ESCRITA,"SIEBEL SOMOS Y CONVERGENTE",HOGARES,FTTH,CC,1000454451,"MARCELO AMADOR",2490252613198,612453534,0220,9107,BOGOTA
VENTAS,"SIEBEL SOMOS Y CONVERGENTE",HOGARES,FTTH,CC,1000454452,"CAROLINA COLL-VICENTE",8783745119134,846436451,0221,9108,BOGOTA
"CALL CENTER",SUMA,HOGARES,FTTH,CC,1000454453,"GABINO DE GINER",9112165948792,234888449,0222,9109,BOGOTA
VENTAS,"SIEBEL SOMOS Y CONVERGENTE",HOGARES,FTTH,CC,1000454454,"MARIANELA CÁRDENAS NÚÑEZ",3908542151671,932007962,0223,9110,BOGOTA
TIENDAS,SUMA,HOGARES,FTTH,CC,1000454455,"IVÁN PAREDES REBOLLO",8132766321536,979472462,0224,9111,BOGOTA
"LINEA ESPECIAL","SIEBEL SOMOS Y CONVERGENTE",HOGARES,FTTH,CC,1000454456,"NEREA FERNANDEZ",4069185137720,565574973,0225,9112,BOGOTA
ASEGURAMIENTO,"SIEBEL SOMOS Y CONVERGENTE",HOGARES,FTTH,CC,1000454457,"TRISTÁN VÉLEZ CHICO",0260367377327,133661137,0226,9113,BOGOTA
"REDES SOCIALES",SUMA,HOGARES,FTTH,CC,1000454458,"ROGELIO PALLARÈS MULET",5578567634807,566115494,0227,9114,BOGOTA
"LINEA ESPECIAL","SIEBEL SOMOS Y CONVERGENTE",HOGARES,FTTH,CC,1000454459,"ANSELMA DE PARRA",1196750428223,359119843,0228,9115,BOGOTA
RETENCIONES,SUMA,HOGARES,FTTH,CC,1000454460,"GUIOMAR ARNAU RECIO",1456797293939,901241949,0229,9116,BOGOTA
ASEGURAMIENTO,"SIEBEL SOMOS Y CONVERGENTE",HOGARES,FTTH,CC,1000454461,"CARLA BERMUDEZ ESTRADA",1527952099399,743545393,0230,9117,BOGOTA
"LINEA ESPECIAL","SIEBEL SOMOS Y CONVERGENTE",HOGARES,FTTH,CC,1000454462,"JENNY BENITO LUÍS",3812217890407,594746728,0231,9118,BOGOTA
TIENDAS,SUMA,HOGARES,FTTH,CC,1000454463,"RAFAEL BLANCA",9303909883211,893758770,0232,9119,BOGOTA
"LINEA ESPECIAL",SUMA,HOGARES,FTTH,CC,1000454464,"DOLORES HERNANDEZ",6127096569228,856529258,0233,9120,BOGOTA
"CANAL DIGITAL","SIEBEL SOMOS Y CONVERGENTE",HOGARES,FTTH,CC,1000454465,"ÁGATA DEL ANGULO",8401222574840,736952630,0234,9121,BOGOTA
VENTAS,"SIEBEL SOMOS Y CONVERGENTE",HOGARES,FTTH,CC,1000454466,"TECLA SOLANA",5727693830745,942804824,0235,9122,BOGOTA
"LINEA ESPECIAL",SUMA,HOGARES,FTTH,CC,1000454467,"AROA SOLERA SANTIAGO",7021342432903,117464879,0236,9123,BOGOTA
VENTAS,SUMA,HOGARES,FTTH,CC,1000454468,"EUSEBIO GOMIS ESCRIVÁ",4348041342041,898254230,0237,9124,BOGOTA
VENTAS,SUMA,HOGARES,FTTH,CC,1000454469,"CLEMENTINA ALFONSO",9189684345277,133307998,0238,9125,BOGOTA
RETENCIONES,SUMA,HOGARES,FTTH,CC,1000454470,"VIRGILIO CESAR PEDROSA MADRIGAL",4799831060546,745025898,0239,9126,BOGOTA
VENTAS,"SIEBEL SOMOS Y CONVERGENTE",HOGARES,FTTH,CC,1000454471,"JOSÉ MARÍA DEL ROJAS",4790599802011,908863403,0240,9127,BOGOTA
TIENDAS,SUMA,HOGARES,FTTH,CC,1000454472,"FERNANDA MÚGICA-BUSQUETS",8731753741806,546338510,0241,9128,BOGOTA
ESCRITA,"SIEBEL SOMOS Y CONVERGENTE",HOGARES,FTTH,CC,1000454473,"DARÍO SALVADOR ÁLVARO",0730227470993,132309559,0242,9129,BOGOTA
RETENCIONES,"SIEBEL SOMOS Y CONVERGENTE",HOGARES,FTTH,CC,1000454474,"DEMETRIO POZO MACÍAS",3099806461419,682023094,0243,9130,BOGOTA
TIENDAS,"SIEBEL SOMOS Y CONVERGENTE",HOGARES,FTTH,CC,1000454475,"SERAFINA CRESPO VARELA",7753668788606,947636361,0244,9131,BOGOTA
"LINEA ESPECIAL","SIEBEL SOMOS Y CONVERGENTE",HOGARES,FTTH,CC,1000454476,"ULISES CABANILLAS CAMPILLO",4511629599038,685664986,0245,9132,BOGOTA
VENTAS,SUMA,HOGARES,FTTH,CC,1000454477,"MERCEDES SILVA CASALS",8648263556638,368115712,0246,9133,BOGOTA
ASEGURAMIENTO,SUMA,HOGARES,FTTH,CC,1000454478,"CORNELIO BELTRÁN PEDRERO",9792728514342,622328555,0247,9134,BOGOTA
"CANAL DIGITAL","SIEBEL SOMOS Y CONVERGENTE",HOGARES,FTTH,CC,1000454479,"INMACULADA VIÑA BALLESTER",8523081535459,460353885,0248,9135,BOGOTA
TIENDAS,SUMA,HOGARES,FTTH,CC,1000454480,"MARÍA LUISA NEIRA JIMENEZ",2678393620118,924762940,0249,9136,BOGOTA
"REDES SOCIALES","SIEBEL SOMOS Y CONVERGENTE",HOGARES,FTTH,CC,1000454481,"GERTRUDIS DEL CÁNOVAS",5381094669221,366165797,0250,9137,BOGOTA
"CALL CENTER","SIEBEL SOMOS Y CONVERGENTE",HOGARES,FTTH,CC,1000454482,"ROGELIO LALO MOLES FEIJOO",7330021316544,648202919,0251,9138,BOGOTA
"CANAL DIGITAL","SIEBEL SOMOS Y CONVERGENTE",HOGARES,FTTH,CC,1000454483,"AMBROSIO JULIO ABELLÁN COBOS",0962373775078,561744100,0252,9139,BOGOTA
VENTAS,"SIEBEL SOMOS Y CONVERGENTE",HOGARES,FTTH,CC,1000454484,"ANI POSADA VARGAS",0231925124446,933202682,0253,9140,BOGOTA
VENTAS,"SIEBEL SOMOS Y CONVERGENTE",HOGARES,FTTH,CC,1000454485,"FRANCISCA POMBO ACEVEDO",8262201593338,712874953,0254,9141,BOGOTA
"CANAL DIGITAL","SIEBEL SOMOS Y CONVERGENTE",HOGARES,FTTH,CC,1000454486,"JOSE FRANCISCO JIMENEZ RODRÍGUEZ",8299606008498,654001433,0255,9142,BOGOTA
"REDES SOCIALES",SUMA,HOGARES,FTTH,CC,1000454487,"LORENZO ROS",0679659953076,280248313,0256,9143,BOGOTA
ASEGURAMIENTO,SUMA,HOGARES,FTTH,CC,1000454488,"SILVIO AVILÉS BOADA",7136165589987,111208729,0257,9144,BOGOTA
ESCRITA,"SIEBEL SOMOS Y CONVERGENTE",HOGARES,FTTH,CC,1000454489,"LÁZARO LUMBRERAS OSORIO",9185290354270,803859589,0258,9145,BOGOTA
RETENCIONES,"SIEBEL SOMOS Y CONVERGENTE",HOGARES,FTTH,CC,1000454490,"MARTA TEJERA SORIA",1668990159528,938566492,0259,9146,BOGOTA
"CALL TECNICO",SUMA,HOGARES,FTTH,CC,1000454491,"ADELINA DEL GALLO",5557384066500,862368842,0260,9147,BOGOTA
TIENDAS,"SIEBEL SOMOS Y CONVERGENTE",HOGARES,FTTH,CC,1000454492,"CARMELO JOSÉ ABAD ÁLVARO",1946709517398,543744689,0261,9148,BOGOTA
"LINEA ESPECIAL","SIEBEL SOMOS Y CONVERGENTE",HOGARES,FTTH,CC,1000454493,"GERALDO SEBASTIÁN BLAZQUEZ",2519430183580,786624905,0262,9149,BOGOTA
ASEGURAMIENTO,"SIEBEL SOMOS Y CONVERGENTE",HOGARES,FTTH,CC,1000454494,"ENRIQUE DEL ARNAU",8759901318066,582753369,0263,9150,BOGOTA
VENTAS,SUMA,HOGARES,FTTH,CC,1000454495,"RUBEN ÁLVAREZ PORTA",2895353363111,963237317,0264,9151,BOGOTA
"REDES SOCIALES","SIEBEL SOMOS Y CONVERGENTE",HOGARES,FTTH,CC,1000454496,"JORGE CARMELO SALVÀ DUEÑAS",4398118601203,717798731,0265,9152,BOGOTA
RETENCIONES,"SIEBEL SOMOS Y CONVERGENTE",HOGARES,FTTH,CC,1000454497,"LILIANA BARCO TOMÁS",6441288598468,209020300,0266,9153,BOGOTA
"CALL CENTER",SUMA,HOGARES,FTTH,CC,1000454498,"LUISA FERRERA",2866856848532,914612622,0267,9154,BOGOTA
ESCRITA,SUMA,HOGARES,FTTH,CC,1000454499,"CANDELA ELI MAZA DÍAZ",4378431748167,870983936,0268,9155,BOGOTA
"LINEA ESPECIAL","SIEBEL SOMOS Y CONVERGENTE",HOGARES,FTTH,CC,1000454500,"FELICIANA MURCIA MARTI",5534649681892,116838481,0269,9156,BOGOTA
"CALL CENTER","SIEBEL SOMOS Y CONVERGENTE",HOGARES,FTTH,CC,1000454501,"CAYETANO ALEMANY MARQUÉS",5026889282627,706988307,0270,9157,BOGOTA
RETENCIONES,SUMA,HOGARES,FTTH,CC,1000454502,"ALCIDES SOTELO ALBERTO",0118985692671,715742022,0271,9158,BOGOTA
ASEGURAMIENTO,SUMA,HOGARES,FTTH,CC,1000454503,"ÁFRICA ADORA OLIVARES RIBAS",8829981531098,456808828,0272,9159,BOGOTA
"CANAL DIGITAL",SUMA,HOGARES,FTTH,CC,1000454504,"ABILIO ARMENGOL POSADA",9840982057164,510958838,0273,9160,BOGOTA
VENTAS,"SIEBEL SOMOS Y CONVERGENTE",HOGARES,FTTH,CC,1000454505,"TEODORA JULIANA FERRANDO ENRÍQUEZ",7349479699206,392683537,0274,9161,BOGOTA
ASEGURAMIENTO,SUMA,HOGARES,FTTH,CC,1000454506,"VIVIANA PEÑAS CAMPOS",9364038834912,686609594,0275,9162,BOGOTA
ESCRITA,"SIEBEL SOMOS Y CONVERGENTE",HOGARES,FTTH,CC,1000454507,"NIDIA BONILLA GUARDIA",3558805607143,251230407,0276,9163,BOGOTA
"LINEA ESPECIAL",SUMA,HOGARES,FTTH,CC,1000454508,"ASDRUBAL RIBERA LLANO",3882868153970,920647544,0277,9164,BOGOTA
TIENDAS,"SIEBEL SOMOS Y CONVERGENTE",HOGARES,FTTH,CC,1000454509,"JOAN IBARRA-VIDAL",3001166536488,333778405,0278,9165,BOGOTA
"CANAL DIGITAL","SIEBEL SOMOS Y CONVERGENTE",HOGARES,FTTH,CC,1000454510,"BASILIO RIBA LLADÓ",0150600064735,543969532,0279,9166,BOGOTA
ESCRITA,"SIEBEL SOMOS Y CONVERGENTE",HOGARES,FTTH,CC,1000454511,"VICTOR MASCARÓ DIÉGUEZ",9584627633753,906583296,0280,9167,BOGOTA
RETENCIONES,SUMA,HOGARES,FTTH,CC,1000454512,"WÁLTER HARO MUÑOZ",0913600224853,645243967,0281,9168,BOGOTA
ESCRITA,SUMA,HOGARES,FTTH,CC,1000454513,"HERNANDO NICOLÁS FUENTE ROIG",5124496554641,774366165,0282,9169,BOGOTA
"CANAL DIGITAL",SUMA,HOGARES,FTTH,CC,1000454514,"INÉS PALACIOS CANO",9939392012276,678184882,0283,9170,BOGOTA
"CALL CENTER","SIEBEL SOMOS Y CONVERGENTE",HOGARES,FTTH,CC,1000454515,"TEOBALDO DE JULIÁ",4942680262004,555372783,0284,9171,BOGOTA
ESCRITA,"SIEBEL SOMOS Y CONVERGENTE",HOGARES,FTTH,CC,1000454516,"FAUSTO ESPEJO PUERTA",6099204203026,415915006,0285,9172,BOGOTA
"CALL TECNICO",SUMA,HOGARES,FTTH,CC,1000454517,"LOIDA GUERRA SOLERA",3053939435135,202153976,0286,9173,BOGOTA
"REDES SOCIALES",SUMA,HOGARES,FTTH,CC,1000454518,"CASEMIRO LOZANO",4927864394462,517822703,0287,9174,BOGOTA
"LINEA ESPECIAL","SIEBEL SOMOS Y CONVERGENTE",HOGARES,FTTH,CC,1000454519,"INOCENCIO TAPIA",9957122999534,672975712,0288,9175,BOGOTA
ESCRITA,SUMA,HOGARES,FTTH,CC,1000454520,"BERNARDINO REVILLA ROIG",3188287683898,486664030,0289,9176,BOGOTA
ESCRITA,SUMA,HOGARES,FTTH,CC,1000454521,"LEIRE DEL BARRENA",8149728496448,686733766,0290,9177,BOGOTA
TIENDAS,SUMA,HOGARES,FTTH,CC,1000454522,"FIDEL IBÁÑEZ-MÚGICA",8248013177143,710375388,0291,9178,BOGOTA
"CALL TECNICO","SIEBEL SOMOS Y CONVERGENTE",HOGARES,FTTH,CC,1000454523,"DAFNE HUGUET ALEGRE",1236332878092,613437765,0292,9179,BOGOTA
"CANAL DIGITAL",SUMA,HOGARES,FTTH,CC,1000454524,"JESÚS JOSÉ MARI PLANA VAZQUEZ",6428296669861,642927960,0293,9180,BOGOTA
VENTAS,SUMA,HOGARES,FTTH,CC,1000454525,"ALEJANDRA BEJARANO TORRENT",4201733968385,199664987,0294,9181,BOGOTA
ASEGURAMIENTO,SUMA,HOGARES,FTTH,CC,1000454526,"TRINIDAD ALMEIDA CÁRDENAS",3437525299859,778002906,0295,9182,BOGOTA
"LINEA ESPECIAL","SIEBEL SOMOS Y CONVERGENTE",HOGARES,FTTH,CC,1000454527,"HELIODORO ACERO",7118958219505,809940296,0296,9183,BOGOTA
"REDES SOCIALES","SIEBEL SOMOS Y CONVERGENTE",HOGARES,FTTH,CC,1000454528,"MARTIRIO GUAL ZAPATA",7634194692352,746652522,0297,9184,BOGOTA
TIENDAS,"SIEBEL SOMOS Y CONVERGENTE",HOGARES,FTTH,CC,1000454529,"RODOLFO ALBERO DUQUE",4563972271495,640877987,0298,9185,BOGOTA
ASEGURAMIENTO,SUMA,HOGARES,FTTH,CC,1000454530,"INOCENCIO FERRERAS REIG",3201585015109,948978120,0299,9186,BOGOTA
ESCRITA,SUMA,HOGARES,FTTH,CC,1000454531,"GRACIANA PARDO URÍA",9750274758135,188535045,0300,9187,BOGOTA
RETENCIONES,"SIEBEL SOMOS Y CONVERGENTE",HOGARES,FTTH,CC,1000454532,"MATEO GARGALLO CHACÓN",5398721270341,884805238,0301,9188,BOGOTA
"CANAL DIGITAL","SIEBEL SOMOS Y CONVERGENTE",HOGARES,FTTH,CC,1000454533,"ABRIL SOLSONA GORDILLO",0056519467593,421758586,0302,9189,BOGOTA
ASEGURAMIENTO,"SIEBEL SOMOS Y CONVERGENTE",HOGARES,FTTH,CC,1000454534,"CLAUDIO DOMÍNGUEZ POMARES",5277844745019,113297908,0303,9190,BOGOTA
"REDES SOCIALES",SUMA,HOGARES,FTTH,CC,1000454535,"DOMITILA DE GARCÉS",2969871931587,571838797,0304,9191,BOGOTA
VENTAS,SUMA,HOGARES,FTTH,CC,1000454536,"OSVALDO ÁLVAREZ ALEGRIA",5317608081685,493701955,0305,9192,BOGOTA
"CANAL DIGITAL",SUMA,HOGARES,FTTH,CC,1000454537,"CATALINA ROSA ALCARAZ",8133375954987,478109827,0306,9193,BOGOTA
"LINEA ESPECIAL",SUMA,HOGARES,FTTH,CC,1000454538,"SOL ADADIA LUÍS",4032984670110,645327801,0307,9194,BOGOTA
ESCRITA,"SIEBEL SOMOS Y CONVERGENTE",HOGARES,FTTH,CC,1000454539,"BENITO JOSÉ MARI INFANTE MASCARÓ",3544266213432,254896200,0308,9195,BOGOTA
"CANAL DIGITAL","SIEBEL SOMOS Y CONVERGENTE",HOGARES,FTTH,CC,1000454540,"JACOBO ALVAREZ-FERNANDEZ",0100287926992,394535505,0309,9196,BOGOTA
ASEGURAMIENTO,SUMA,HOGARES,FTTH,CC,1000454541,"JOSÉ LEOCADIA PORTA ALMEIDA",3621527748541,749998453,0310,9197,BOGOTA
TIENDAS,"SIEBEL SOMOS Y CONVERGENTE",HOGARES,FTTH,CC,1000454542,"PAULINA CATALÁ RAMÍREZ",6310843252120,442840208,0311,9198,BOGOTA
"CALL CENTER",SUMA,HOGARES,FTTH,CC,1000454543,"FULGENCIO DE VALBUENA",6788862144020,334470137,0312,9199,BOGOTA
"LINEA ESPECIAL","SIEBEL SOMOS Y CONVERGENTE",HOGARES,FTTH,CC,1000454544,"LUCIO CAPDEVILA",0193615267489,488695019,0313,9200,BOGOTA
"REDES SOCIALES","SIEBEL SOMOS Y CONVERGENTE",HOGARES,FTTH,CC,1000454545,"ALBINO JOAQUÍN TOMAS RUANO",2788469727934,732355213,0314,9201,BOGOTA
"CANAL DIGITAL",SUMA,HOGARES,FTTH,CC,1000454546,"MARÍA LUISA FELISA SALVÀ RIPOLL",2751641405402,625743406,0315,9202,BOGOTA
"CANAL DIGITAL",SUMA,HOGARES,FTTH,CC,1000454547,"HILDA CLAUDIA FERRÁN CORTINA",7597822104427,399412055,0316,9203,BOGOTA
"CALL TECNICO","SIEBEL SOMOS Y CONVERGENTE",HOGARES,FTTH,CC,1000454548,"EDELMIRO ROIG CARBONELL",6787017625687,345711488,0317,9204,BOGOTA
"LINEA ESPECIAL",SUMA,HOGARES,FTTH,CC,1000454549,"VALENTÍN NEBOT SALGADO",0527573161423,437499842,0318,9205,BOGOTA
"CALL CENTER",SUMA,HOGARES,FTTH,CC,1000454550,"EPIFANIO DE VEGA",0026148788878,695907046,0319,9206,BOGOTA
"CALL TECNICO",SUMA,HOGARES,FTTH,CC,1000454551,"ATILIO LOSA PALMA",6891568507091,918818759,0320,9207,BOGOTA
"CANAL DIGITAL",SUMA,HOGARES,FTTH,CC,1000454552,"HERMINIO ANASTASIO TOMÁS REINA",8799234964621,582334344,0321,9208,BOGOTA
"CALL TECNICO",SUMA,HOGARES,FTTH,CC,1000454553,"JORGE DEL ALMAZÁN",2440873458820,154719746,0322,9209,BOGOTA
